"Reference","Value","Footprint","Datasheet","Digikey P/N","Digikey Page","Manufacturer","Mfg. P/N","Package","Qty"
"C1, C3","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","0805","2"
"C2, C4","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","0805","2"
"C5","22nF","Capacitor_SMD:C_0805_2012Metric","~","311-1138-1-ND","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB223/302872","","","0805","1"
"C6","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","311-1140-1-ND","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874","","","0805","1"
"C7","22nF","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","","","1"
"D1","Touch_Indicator","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","160-1423-1-ND","https://www.digikey.com/en/products/detail/liteon/LTST-C171GKT/386793","","","0805","1"
"D4","Rectangular_Green_LED","LED_THT:LED_Rectangular_W5.0mm_H2.0mm","~","754-WP113CGKDT-ND","https://www.digikey.com/en/products/detail/kingbright/WP113CGKDT/20381527","","","5.00mm x 2.00mm Rectangular","1"
"D5","Rectangular_Red_LED","LED_THT:LED_Rectangular_W5.0mm_H2.0mm","~","754-WP113SURDKT-ND","https://www.digikey.com/en/products/detail/kingbright/WP113SURDKT/16602167","","","5.00mm x 2.00mm Rectangular","1"
"J1-J9, J11-J18","Phoenix _725656","my_footprints:PHOENIX_1725656-2POS","https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mpt-05-2-254-1725656?type=pdf","277-1273-ND","https://www.digikey.com/en/products/detail/phoenix-contact/1725656/267462","Phoenix Contact","1725656","","17"
"J10","Phoenix_5POS_1725685","my_footprints:PHOENIX_1725685-5POS","https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mpt-05-5-254-1725685?type=pdf","277-1276-ND","https://www.digikey.com/en/products/detail/phoenix-contact/1725685/267465","Phoenix Contact","1725685","","1"
"J19","Phoenix_3POS_1725669","my_footprints:PHOENIX_1725669-3POS","https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mpt-05-3-254-1725669?type=pdf","277-1274-ND","https://www.digikey.com/en/products/detail/phoenix-contact/1725669/267463","Phoenix Contact","1725669","","1"
